razao_social_osc,nome_fantasia_osc,natureza_juridica,ano_inicio,classe_atividade_economica,subclasse_atividade_economica,bairro,area_atuacao,subarea_atuacao
"ASSOCIACAO DOS VENDEDORES DE JORNAIS,REVISTAS E LIVROS DE SANTOS",NÃO INFORMADO,Associação Privada,1999,NÃO INFORMADO,NÃO INFORMADO,campo grande,desenvolvimento e defesa de direitos,outros
LIONS CLUB DE SANTOS NORTE,NÃO INFORMADO,Associação Privada,1970,NÃO INFORMADO,NÃO INFORMADO,centro,desenvolvimento e defesa de direitos,outros
FRI KIK CLUBE,NÃO INFORMADO,Associação Privada,1970,NÃO INFORMADO,NÃO INFORMADO,macuco,cultura e recreação,esporte e recreação
ASSOCIACAO BRASILEIRA DOS CATADORES DE MATERIAL RECICLAVEL,NÃO INFORMADO,Associação Privada,1990,NÃO INFORMADO,NÃO INFORMADO,paqueta,desenvolvimento e defesa de direitos,outros
TENDA ESPIRITA DE UMBANDA PAI TUPIRIA,NÃO INFORMADO,Associação Privada,1991,NÃO INFORMADO,NÃO INFORMADO,marape,religião,religião
CENTRO ESPIRITA CORACAO DE JESUS,NÃO INFORMADO,Associação Privada,1992,NÃO INFORMADO,NÃO INFORMADO,jose menino,religião,religião
TENDA ESPIRITA DE UMBANDA MINA RAINHA DO MAR,NÃO INFORMADO,Associação Privada,1971,NÃO INFORMADO,NÃO INFORMADO,mercado,religião,religião
DEP APOS E PENS S T I CONSTRUCAO MOBILIARIO DE SANTOS,NÃO INFORMADO,Associação Privada,1989,NÃO INFORMADO,NÃO INFORMADO,vila mathias,desenvolvimento e defesa de direitos,outros
FRATERN.FEMININA CRUZEIRO DO SUL PRINCIPE DO LIBANO,NÃO INFORMADO,Associação Privada,1991,NÃO INFORMADO,NÃO INFORMADO,vila matias,assistência social,assistência social
GRUPO TEATRAL METABOLE S/C,GRUPO METABOLE,Associação Privada,2001,NÃO INFORMADO,NÃO INFORMADO,nova cintra,saúde,outros serviços de saúde
CENTRO DE ESTUDOS UNIFICADOS BANDEIRANTE,UNIMES,Associação Privada,2001,NÃO INFORMADO,NÃO INFORMADO,morro da n.cintra,educação e pesquisa; outras atividades associativas,associações de atividades não especificadas anteriormente
CENTRO ACADEMICO X DE DEZEMBRO,CENTRO ACADEMICO X DE DEZEMBRO,Associação Privada,2000,NÃO INFORMADO,NÃO INFORMADO,boqueirao,desenvolvimento e defesa de direitos,outros
OBSERVATORIUM,NÃO INFORMADO,Associação Privada,2001,NÃO INFORMADO,NÃO INFORMADO,vila  matias,desenvolvimento e defesa de direitos,outros
PROJETO BOM VIVER - DOE EM ACAO,NÃO INFORMADO,Associação Privada,2001,NÃO INFORMADO,NÃO INFORMADO,jardim sao manoel,desenvolvimento e defesa de direitos,outros
ORGANIZACAO DE APOIO SOCIAL EDUCATIVO CULTURAL PORT NECESSIDADES ESP MINORIAS EXCLUIDAS SISTEMAS COMUNS,SOL SOCIALIZACAO OCUPACAO E LAZER,Associação Privada,2002,NÃO INFORMADO,NÃO INFORMADO,gonzaga,desenvolvimento e defesa de direitos,outros
ERARIO - SOCIEDADE BRASILEIRA DE CONTROLE DE VERBAS PUBLICAS,NÃO INFORMADO,Associação Privada,2002,NÃO INFORMADO,NÃO INFORMADO,centro,desenvolvimento e defesa de direitos,outros
ASSOCIACAO TAISA-KAN DE KARATE-DO SHOTOKAN JKA TRADICIONAL,ASSOCIACAO TAISA-KAN,Associação Privada,2002,NÃO INFORMADO,NÃO INFORMADO,caneleira,cultura e recreação,esporte e recreação
ASSOCIACAO PUNHOS DE OURO,NÃO INFORMADO,Associação Privada,2003,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,aparecida,desenvolvimento e defesa de direitos,outros
G.A.P.C GRUPO DE APOIO A PESSOAS COM CANCER,NÃO INFORMADO,Associação Privada,2003,NÃO INFORMADO,NÃO INFORMADO,vila matias,desenvolvimento e defesa de direitos,outros
ESPORTE CLUBE SERRANO,NÃO INFORMADO,Associação Privada,2003,NÃO INFORMADO,NÃO INFORMADO,alemoa,cultura e recreação,esporte e recreação
PRO-VERDE,PV,Associação Privada,2004,NÃO INFORMADO,NÃO INFORMADO,marape,desenvolvimento e defesa de direitos,outros
LITORAL FUTEBOL CLUBE,LITORAL FUTEBOL CLUBE,Associação Privada,2004,NÃO INFORMADO,NÃO INFORMADO,aparecida,cultura e recreação,esporte e recreação
ASSOCIACAO ASSISTENCIAL ESPIRITA ESPERANCA,GRUPO ESPIRITA ESPERANCA,Associação Privada,2004,NÃO INFORMADO,NÃO INFORMADO,campo grande,religião,religião
CENTRO DE ESTUDOS E PESQUISAS EM GERIATRIA DO CENTRO UNIVERSITARIO LUSIADA - CEPEG - UNILUS,CEPEG - UNILUS,Associação Privada,2004,NÃO INFORMADO,NÃO INFORMADO,boqueirao,desenvolvimento e defesa de direitos,outros
CENTRO DE ESPIRITUALIDADE INACIANA ANCHIETA - BAIXADA SANTISTA,NÃO INFORMADO,Associação Privada,2004,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,ponta da praia,religião,religião
SOCIEDADE DE MELHORAMENTOS E AMIGOS DO BAIRRO DO ESTUARIO,NÃO INFORMADO,Associação Privada,2002,NÃO INFORMADO,NÃO INFORMADO,estuario,desenvolvimento e defesa de direitos,outros
INSTITUTO BRASILEIRO DE DIREITO DOS TRANSPORTES - IBDTRANS,IBDTRANS,Associação Privada,2005,NÃO INFORMADO,NÃO INFORMADO,centro,desenvolvimento e defesa de direitos,outros
INSTITUTO MULTIDISCIPLINAR DE APOIO A INCLUSAO SOCIAL E RESPEITO AS DIFERENCAS,MAIS DHAFE,Associação Privada,2006,NÃO INFORMADO,NÃO INFORMADO,aparecida,assistência social,assistência social
MOTOCLUBE MENSAGEIROS DOS VENTOS,NÃO INFORMADO,Associação Privada,2006,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,estuario,desenvolvimento e defesa de direitos,outros
CENTRO DE ESTUDOS JURIDICOS DE DEFESA DOS CONSUMIDORES DO SISTEMA FINANCEIRO,INSTITUTO IDEFI,Fundação Privada,2006,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,vila mathias,desenvolvimento e defesa de direitos,outros
PROJETO AMIGOS DO AQUARIO DE SANTOS,PROAAS,Associação Privada,2006,NÃO INFORMADO,NÃO INFORMADO,aparecida,outras atividades associativas,associações de atividades não especificadas anteriormente
PROJETO EDUCACIONAL DE CONSCIENTIZACAO E ORIENTACAO - PROECO,PROECO,Associação Privada,2007,NÃO INFORMADO,NÃO INFORMADO,santa maria,assistência social,assistência social
CONSELHO DE PASTORES E MINISTROS EVANGELICOS DE SANTOS,COPEMES,Associação Privada,2007,NÃO INFORMADO,NÃO INFORMADO,centro,religião,religião
LIGA SANTISTA DE TENIS DE MESA,LIGA SANTISTA DE TENIS DE MESA - LSTM,Fundação Privada,2008,Atividades esportivas não especificadas anteriormente,Outras atividades esportivas não especificadas anteriormente,ponta da praia,cultura e recreação,esporte e recreação
GREMIO RECREATIVO BM REPAROS DE CONTAINERS,GREMIO BM REPAROS,Associação Privada,2008,NÃO INFORMADO,NÃO INFORMADO,campo grande,cultura e recreação,esporte e recreação
CONFEDERACAO BRASILEIRA DE MOUNTAIN BIKE,CBMTB,Associação Privada,2009,Atividades esportivas não especificadas anteriormente,Outras atividades esportivas não especificadas anteriormente,vila mathias,cultura e recreação,esporte e recreação
INSTITUTO MULHER VIVA,INSTITUTO MULHER VIVA,Associação Privada,2010,NÃO INFORMADO,NÃO INFORMADO,macuco,outras atividades associativas,associações de atividades não especificadas anteriormente
ASSOCIACAO DE PROFESSORES DE EDUCACAO FISICA DE SANTOS E REGIAO,APEFS,Associação Privada,2010,NÃO INFORMADO,NÃO INFORMADO,gonzaga,cultura e recreação,cultura e arte
ASSOCIACAO ESPORTIVA POLIDISCIPLINAR DO BRASIL - AESP,AESP,Associação Privada,2010,Ensino de esportes,Ensino de esportes,morro nova cintra,educação e pesquisa,outras formas de educação/ensino
INSTITUTO NACIONAL ESPECIALIZADO EM DEPENDENCIA DE DROGAS E ALCOOL I.N.E.D.D.A.,I.N.E.D.D.A,Associação Privada,2010,NÃO INFORMADO,NÃO INFORMADO,campo grande,outras atividades associativas,associações de atividades não especificadas anteriormente
ASSOCIACAO MULTI ESPORTIVA SOCIOCULTURAL DO ESTADO DE SAO PAULO (AMESC - SP),AMESC SP,Associação Privada,2011,NÃO INFORMADO,NÃO INFORMADO,estuario,cultura e recreação; desenvolvimento e defesa de direitos,outros
ASSOCIACAO TERCEIRA VIA SANTISTA,NÃO INFORMADO,Associação Privada,2011,NÃO INFORMADO,NÃO INFORMADO,centro,desenvolvimento e defesa de direitos,outros
ASSOCIACAO PES VELOZES,NÃO INFORMADO,Associação Privada,2011,NÃO INFORMADO,NÃO INFORMADO,vila mathias,cultura e recreação,esporte e recreação
INSTITUTO ALPHA DE MEDICINA PARA SAUDE,INSTITUTO ALPHA,Associação Privada,2011,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,centro,saúde,outros serviços de saúde
ASSOCIACAO PORTO DA CIDADANIA - APC,ASOCIACAO PORTO DA CIDADANIA - APC,Associação Privada,2009,NÃO INFORMADO,NÃO INFORMADO,jardim radio clube,outras atividades associativas,associações de atividades não especificadas anteriormente
A.R.L.S. MONTEIRO LOBATO,ASSOCIACAO DE BENEFICENCIA MONTEIRO LOBATO,Associação Privada,2011,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,macuco,desenvolvimento e defesa de direitos; religião,outros; religião
"INSTITUTO DE ESTUDO E PESQUISA CIENTIFICA, POLITICA E FILOSOFICA PARA O BEM ESTAR NACIONAL - CAPITAO VIOLETA",INSTITUTO CAPITAO VIOLETA,Associação Privada,2012,NÃO INFORMADO,NÃO INFORMADO,macuco,outras atividades associativas,associações de atividades não especificadas anteriormente
COMUNIDADE EVANGELICA IGREJA DE ATOS - CEIA,CEIA,Organização Religiosa,2012,NÃO INFORMADO,NÃO INFORMADO,vila mathias,religião,religião
CENTRO AMBIENTAL DE ESTUDOS E TURISMO ECOLOGICO DA MATA ATLANTICA,C.A.E.T.E.,Associação Privada,2012,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,marape,desenvolvimento e defesa de direitos,outros
GREMIO RECREATIVO CULTURAL ESCOLA DE SAMBA TIJUCA,NÃO INFORMADO,Associação Privada,2011,NÃO INFORMADO,NÃO INFORMADO,embare,cultura e recreação,esporte e recreação
CENTRO DE CULTURA ROSA CRUZ ANDRADAS,NÃO INFORMADO,Associação Privada,2013,NÃO INFORMADO,NÃO INFORMADO,vila nova,outras atividades associativas,associações de atividades não especificadas anteriormente
CASA ACOLHIMENTO SALOMAO,CAS,Associação Privada,2013,NÃO INFORMADO,NÃO INFORMADO,paqueta,desenvolvimento e defesa de direitos,outros
TENDA DE UMBANDA DIVINDADES DE OLORUM,TENDA DE UMBANDA DIVINDADE DE OLORUM,Organização Religiosa,2013,NÃO INFORMADO,NÃO INFORMADO,vila mathias,religião,religião
ASSOCIACAO MORADA DAS AGUAS E FLORES CLARAS,AMDAFC,Associação Privada,2013,NÃO INFORMADO,NÃO INFORMADO,chico de paula,desenvolvimento e defesa de direitos,outros
ASSOCIACAO PAULISTA DOS TRANSPORTADORES AUTONOMOS,A.P.T.A.,Associação Privada,2014,NÃO INFORMADO,NÃO INFORMADO,centro,"associações patronais, profissionais e de produtores rurais",associações empresariais e patronais
ASSOCIACAO SHUGYO DOJO DE ESTUDO DO AIKIDO,NÃO INFORMADO,Associação Privada,2014,NÃO INFORMADO,NÃO INFORMADO,aparecida,cultura e recreação,cultura e arte
ASSOCIACAO ESTRELA MILINHA,ASSOCIACAO ESTRELA MILINHA,Associação Privada,2014,NÃO INFORMADO,NÃO INFORMADO,santa maria,desenvolvimento e defesa de direitos,outros
CENTRO INTEGRADO DE ASSISTENCIA A PESSOAS COM CANCER - CENIN,CENIN - UNIDADE ADMINISTRATIVA,Associação Privada,2015,NÃO INFORMADO,NÃO INFORMADO,encruzilhada,assistência social,assistência social
IGREJA UNIVERSAL DO REINO DE DEUS,NÃO INFORMADO,Organização Religiosa,2015,NÃO INFORMADO,NÃO INFORMADO,morro nova cintra,religião,religião
GREMIO 24 DE AGOSTO,NÃO INFORMADO,Associação Privada,2015,NÃO INFORMADO,NÃO INFORMADO,vila nova,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DE MUSICA E ARTES PENIEL,AMAP,Associação Privada,2014,NÃO INFORMADO,NÃO INFORMADO,vila mathias,"associações patronais, profissionais e de produtores rurais",associações profissionais
GREMIO RECREATIVO CONDOMINIO CLUBE  XV - G.R.C.XV,GREMIO RECREATIVO CONDOMINIO CLUBE XV - G.R.C.XV,Associação Privada,2015,NÃO INFORMADO,NÃO INFORMADO,boqueirao,cultura e recreação,esporte e recreação
COMPLEXO DO FUTEBOL SOCIAL BARCELONA,CFSB,Associação Privada,2013,NÃO INFORMADO,NÃO INFORMADO,areia branca,desenvolvimento e defesa de direitos,outros
IGREJA EVANGELICA MINISTERIO DISCIPULOS,IGREJA EVANGELICA MINISTERIO DISCIPULOS,Organização Religiosa,2015,NÃO INFORMADO,NÃO INFORMADO,chico de paula,religião,religião
GRUPO ESPIRITA EURIPEDES BARSANULFO,NÃO INFORMADO,Organização Religiosa,2015,NÃO INFORMADO,NÃO INFORMADO,aparecida,religião,religião
CEU REINADO DA CORUJA,NÃO INFORMADO,Organização Religiosa,2015,NÃO INFORMADO,NÃO INFORMADO,caibura,religião,religião
ASSOCIACAO DE INSTRUTORES PEDIATRICOS DO CONCEITO BOBATH - BRASIL - ACONBOBATH - BRASIL,NÃO INFORMADO,Associação Privada,2015,NÃO INFORMADO,NÃO INFORMADO,pompeia,educação e pesquisa,outras formas de educação/ensino
ASSOCIACAO DE VOLUNTARIOS S.O.S. SO RISO,ASSOCIACAO DE VOLUNTARIOS S.O.S SO RISO,Associação Privada,2013,NÃO INFORMADO,NÃO INFORMADO,vila belmiro,outras atividades associativas,associações de atividades não especificadas anteriormente
"ASSOCIACAO DE INFORMACAO, PROTECAO E DEFESA DO TRABALHADOR - PROTRABALHADOR",INSTITUTO JOAO CLAUDIO,Associação Privada,2016,NÃO INFORMADO,NÃO INFORMADO,vila nova,desenvolvimento e defesa de direitos,outros
ORGANIZACAO DOS HAITIANOS QUE VIVEM NO BRASIL -OHVB,ORGANIZACAO DOS HAITIANOS QUE VIVEM NO BRASIL,Organização Social,2016,NÃO INFORMADO,NÃO INFORMADO,aparecida,desenvolvimento e defesa de direitos,outros
INSTITUTO SOCIAL HOSPITAL ALEMAO OSWALDO CRUZ,COMPLEXO HOSPITALAR DOS ESTIVADORES,Associação Privada,2016,NÃO INFORMADO,NÃO INFORMADO,encruzilhada,saúde,hospitais
INSTITUTO METROPOLITANO DE PESQUISA E ANALISE REGIONAL - IMPAR,IMPAR,Associação Privada,1999,NÃO INFORMADO,NÃO INFORMADO,marape,desenvolvimento e defesa de direitos,outros
RADIOATIVA FM,NÃO INFORMADO,Associação Privada,1996,Atividades de rádio,Atividades de rádio,macuco,outras atividades associativas; outros,associações de atividades não especificadas anteriormente
CENTRO ACADEMICO ' SATURNINO DE BRITO ',NÃO INFORMADO,Associação Privada,1995,NÃO INFORMADO,NÃO INFORMADO,boqueirao,"associações patronais, profissionais e de produtores rurais",associações profissionais
ASSOCIACAO CULTURAL COMUNITARIA LIFE,NÃO INFORMADO,Associação Privada,1997,NÃO INFORMADO,NÃO INFORMADO,encruzilhada,outras atividades associativas; outros,associações de atividades não especificadas anteriormente
SOS PRAIAS E BAIXADA SANTISTA,SOS PRAIAS,Associação Privada,1992,NÃO INFORMADO,NÃO INFORMADO,boqueirao,desenvolvimento e defesa de direitos,outros
CLUBE DE BOCHAS JARDIM RADIO CLUBE,NÃO INFORMADO,Associação Privada,1982,NÃO INFORMADO,NÃO INFORMADO,jardim radio clube,cultura e recreação,esporte e recreação
ASSOCIACAO DESPORTIVA CLASSISTA ELDORADO FREIOS,NÃO INFORMADO,Associação Privada,1983,NÃO INFORMADO,NÃO INFORMADO,vila mathias,cultura e recreação,esporte e recreação
ASSOCIACAO DOS ORQUIDOFILOS DE SANTOS,NÃO INFORMADO,Associação Privada,1972,NÃO INFORMADO,NÃO INFORMADO,campo grande,desenvolvimento e defesa de direitos,outros
LOJA SIMBOLICA ALBERTO SANTOS DUMONT N 420,NÃO INFORMADO,Associação Privada,1993,NÃO INFORMADO,NÃO INFORMADO,macuco,desenvolvimento e defesa de direitos; religião,religião
ASSOCIACAO DOS EMPREGADOS DA FOSFERTIL - AEF,ADC ULTRAFERTIL SUB-SEDE CUBATAO,Associação Privada,1983,NÃO INFORMADO,NÃO INFORMADO,encruzilhada,cultura e recreação,esporte e recreação
SANTOS CINE FOTO CLUBE,NÃO INFORMADO,Associação Privada,1977,NÃO INFORMADO,NÃO INFORMADO,campo grande,desenvolvimento e defesa de direitos,outros
CLUBE DOS 21 IRMAOS AMIGOS DE SANTOS,NÃO INFORMADO,Associação Privada,1979,NÃO INFORMADO,NÃO INFORMADO,centro,desenvolvimento e defesa de direitos,outros
DIRETORIO ACADEMICO MARIANO ROCHA,NÃO INFORMADO,Associação Privada,1979,NÃO INFORMADO,NÃO INFORMADO,boqueirao,desenvolvimento e defesa de direitos,outros
CENTRO DE AMPARO E PROTECAO A INF S FRANCISCO DE ASSIS,NÃO INFORMADO,Associação Privada,1980,NÃO INFORMADO,NÃO INFORMADO,vila mathias,desenvolvimento e defesa de direitos,outros
CLUBE RECREATIVO CAPIM GORDURA,NÃO INFORMADO,Associação Privada,1980,NÃO INFORMADO,NÃO INFORMADO,marape,cultura e recreação,esporte e recreação
ASSOCIACAO DOS FUNCIONARIOS PUBLIC MUNICIPAIS DE SANTOS,NÃO INFORMADO,Associação Privada,1981,NÃO INFORMADO,NÃO INFORMADO,encruzilhada,desenvolvimento e defesa de direitos,outros
ASSOCIACAO COMERCIAL DOS TRANSPORTADORES AUTONOMOS,ASSOCIACAO COMERCIAL DOS TRANSPORTADORES AUTONOMOS,Associação Privada,1995,NÃO INFORMADO,NÃO INFORMADO,centro,desenvolvimento e defesa de direitos,outros
ANDARA GRUPO DE DANCA,NÃO INFORMADO,Associação Privada,1984,NÃO INFORMADO,NÃO INFORMADO,ponta da praia,desenvolvimento e defesa de direitos,outros
ASSOCIACAO NACIONAL DOS VETERANOS DA FEB,NÃO INFORMADO,Associação Privada,1973,NÃO INFORMADO,NÃO INFORMADO,centro,desenvolvimento e defesa de direitos,outros
ASSOCIACAO BRASILEIRA DE FLEBOLOGIA E LINFOLOGIA,NÃO INFORMADO,Associação Privada,1990,NÃO INFORMADO,NÃO INFORMADO,gonzaga,outras atividades associativas,associações de atividades não especificadas anteriormente
ASSOCIACAO ESPIRITA JESUS E A CARIDADE,NÃO INFORMADO,Associação Privada,1966,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,campo grande,religião,religião
TROPICAL PRAIA CLUBE,NÃO INFORMADO,Associação Privada,1986,NÃO INFORMADO,NÃO INFORMADO,ponta da praia,cultura e recreação,esporte e recreação
ASS MUTUA DOS CONFERENTES CARG E DESC DO PORTO DE SANTO,MUTUA DOS CONFERENTES,Associação Privada,1986,NÃO INFORMADO,NÃO INFORMADO,centro,desenvolvimento e defesa de direitos,outros
ASSOCIACAO PROMOCIONAL SAO JOSE,NÃO INFORMADO,Associação Privada,1975,NÃO INFORMADO,NÃO INFORMADO,jardim radio clube,desenvolvimento e defesa de direitos,outros
ORGANIZACAO DE APOIO AO PORTADOR DO VIRUS DA AIDS,OASIS,Associação Privada,1990,NÃO INFORMADO,NÃO INFORMADO,boqueirao,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DOS DEFICIENTES FISICOS DE SANTOS,ADFISA,Associação Privada,1985,NÃO INFORMADO,NÃO INFORMADO,gonzaga,assistência social,assistência social
SOC MANT ASSIST EDUCACAO CASA DE NOSSA SENHORA,NÃO INFORMADO,Associação Privada,1966,NÃO INFORMADO,NÃO INFORMADO,jabaquara,assistência social,assistência social
SANTOS FUTEBOL CLUBE,NÃO INFORMADO,Associação Privada,1977,NÃO INFORMADO,NÃO INFORMADO,vila belmiro,cultura e recreação,esporte e recreação
ASSOCIACAO DOS PROFISSIONAIS DO TURISMO DA BAIXADA SANTISTA - SANTOS,NÃO INFORMADO,Associação Privada,1998,NÃO INFORMADO,NÃO INFORMADO,macuco,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DESPORTIVA CLASSISTA EUDMARCO,NÃO INFORMADO,Associação Privada,1985,NÃO INFORMADO,NÃO INFORMADO,macuco,cultura e recreação,esporte e recreação
CLUBE TAMBOREU DE SANTOS,NÃO INFORMADO,Associação Privada,1988,NÃO INFORMADO,NÃO INFORMADO,morro da nova cintr,cultura e recreação,esporte e recreação
ASSOCIACAO EDUCATIVA RAMOS LOPEZ,NÃO INFORMADO,Associação Privada,1969,NÃO INFORMADO,NÃO INFORMADO,gonzaga,educação e pesquisa,educação infantil
GAARTE GRUPO AMIGOS DA ARTE,GAARTE,Associação Privada,1986,NÃO INFORMADO,NÃO INFORMADO,vila belmiro,desenvolvimento e defesa de direitos,outros
CONGREGACAO EVANGELICA LIRIO DOS VALES DE SANTOS,LIRIO DOS VALES,Associação Privada,1989,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,jardim radio clube,religião,religião
CLUBE DOS EMPREGADOS DA PETROBRAS,NÃO INFORMADO,Associação Privada,1966,NÃO INFORMADO,NÃO INFORMADO,macuco,cultura e recreação,esporte e recreação
C.C.E.S.M. - CENTRO CULTURAL ESCOLA DE SAMBA METROPOLITANA,NÃO INFORMADO,Associação Privada,1998,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,vila nova,desenvolvimento e defesa de direitos,outros
SOCIEDADE DE ESTUDOS E PESQUISAS ESPIRITAS DR.FREERMAM GUTER,NÃO INFORMADO,Associação Privada,1999,NÃO INFORMADO,NÃO INFORMADO,ponta da praia,religião,religião
GRUPO ZEPHYRUM,NÃO INFORMADO,Associação Privada,1988,NÃO INFORMADO,NÃO INFORMADO,aparecida,cultura e recreação,esporte e recreação
ASSOCIACAO AMIGOS DOS BOMBEIROS LITORAL,SOABOM LITORAL,Associação Privada,1987,NÃO INFORMADO,NÃO INFORMADO,paqueta,desenvolvimento e defesa de direitos,outros
ASSOCIACAO CRISTA BENEFICENTE EURIPEDES BARSANULFO,CRECHE ESPIRITA PADRE BENTO,Associação Privada,1973,NÃO INFORMADO,NÃO INFORMADO,vila mathias,educação e pesquisa,educação infantil
MINISTERIO EVANGELICO GIDEOES DE CRISTO,MINISTERIO EVANGELICO GIDEOES DE CRISTO,Associação Privada,1998,NÃO INFORMADO,NÃO INFORMADO,macuco,religião,religião
CENTRAL DE ABASTECIMENTO DA UNIAO,REDE CAU,Associação Privada,2000,Atividades de organizações associativas patronais e empresariais,Atividades de organizações associativas patronais e empresariais,centro,"associações patronais, profissionais e de produtores rurais",associações empresariais e patronais
ORGANIZACAO DA SOCIEDADE CIVIL DE INTERESSE PUBLICO DE ASSISTENCIA A INFORMACAO SOCIAL,OI - ORGANIZACAO DA INFORMACAO,Associação Privada,2002,NÃO INFORMADO,NÃO INFORMADO,boqueirao,desenvolvimento e defesa de direitos,outros
IGREJA EVANGELICA PENTECOSTAL O BRASIL PARA CRISTO AREIA BRANCA - SANTOS,NÃO INFORMADO,Associação Privada,2000,NÃO INFORMADO,NÃO INFORMADO,areia branca,religião,religião
ASSOCIACAO BENEFICENTE SEMENTE DA VIDA,PROJETO SEMENTE,Associação Privada,2001,NÃO INFORMADO,NÃO INFORMADO,jardim castelo,desenvolvimento e defesa de direitos,outros
SOCIEDADE DE PROPRIETARIOS E MORADORES UNIDOS DO MARAPE,SPMUM,Associação Privada,1957,NÃO INFORMADO,NÃO INFORMADO,marape,desenvolvimento e defesa de direitos,outros
IETIALENE - INSTITUTO EDUCACIONAL TIA LENE,INSTITUICAO TIA LENE,Associação Privada,2003,NÃO INFORMADO,NÃO INFORMADO,pompeia,desenvolvimento e defesa de direitos,outros
APKS - ASSOCIACAO DOS PILOTOS DE KART DE SANTOS,NÃO INFORMADO,Associação Privada,2003,NÃO INFORMADO,NÃO INFORMADO,centro,desenvolvimento e defesa de direitos,outros
INSTITUTO ESPIRITA LEON DENIS,NÃO INFORMADO,Associação Privada,2004,NÃO INFORMADO,NÃO INFORMADO,boqueirao,religião,religião
"ASSOCIACAO ALEGRIA, SOLIDARIEDADE E CIDADANIA",AAS CIDADANIA,Associação Privada,2005,NÃO INFORMADO,NÃO INFORMADO,encruzilhada,desenvolvimento e defesa de direitos,outros
MINISTERIO EVANGELICO IGREJA ULTIMA HORA,IGREJA DA ULTIMA HORA,Organização Religiosa,2005,NÃO INFORMADO,NÃO INFORMADO,morro da nova cintra,religião,religião
ASSOCIACAO DESPORTIVA E CULTURAL DE CAPOEIRA ESCOLA,ADCCE,Associação Privada,2005,NÃO INFORMADO,NÃO INFORMADO,vila nova,cultura e recreação,esporte e recreação
GRUPO ESPIRITUALISTA DR MATHIAS DE CARVALHO,NÃO INFORMADO,Associação Privada,2005,NÃO INFORMADO,NÃO INFORMADO,encruzilhada,religião,religião
SOCIEDADE DE MELHORAMENTOS DO MORRO SANTA MARIA,NÃO INFORMADO,Associação Privada,2001,NÃO INFORMADO,NÃO INFORMADO,morro santa maria,outras atividades associativas,associações de atividades não especificadas anteriormente
ASSOCIACAO E CENTRO CULTURAL DE TRADICAO NORDESTINA DA BAIXADA SANTISTA - ACCTNBS,ACCTNBS,Associação Privada,2007,NÃO INFORMADO,NÃO INFORMADO,campo grande,outras atividades associativas,associações de atividades não especificadas anteriormente
ASSOCIACAO BRASILEIRA DE CICLISTAS,ABC,Associação Privada,2008,NÃO INFORMADO,NÃO INFORMADO,vila mathias,outras atividades associativas,associações de atividades não especificadas anteriormente
ASSOCIACAO DOS PROCURADORES DA REGIAO METROPOLITANA DA BAIXADA SANTISTA- APREMSA,APREMSA,Associação Privada,2007,NÃO INFORMADO,NÃO INFORMADO,centro,"associações patronais, profissionais e de produtores rurais",associações profissionais
CIENCIA ESOTERICA AGUIA DO NORTE,NÃO INFORMADO,Associação Privada,2008,NÃO INFORMADO,NÃO INFORMADO,aparecida,religião,religião
ASSOCIACAO DE PROMOCAO SOCIAL PLENITUDE,IAEB,Associação Privada,2009,NÃO INFORMADO,NÃO INFORMADO,vila mathias,"associações patronais, profissionais e de produtores rurais",associações profissionais
ASSOCIACAO COMPANHIA DA DANCA,ASSOCIACAO COMPANHIA DA DANCA,Associação Privada,2006,NÃO INFORMADO,NÃO INFORMADO,vila mathias,saúde,outros serviços de saúde
INSTITUTO DE DEFESA DO CONSUMIDOR,I.N.D.C,Associação Privada,2009,NÃO INFORMADO,NÃO INFORMADO,centro,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DOS MORADORES E AMIGOS DO MORRO DO JOSE MENINO,AMA JOSE MENINO,Associação Privada,2009,NÃO INFORMADO,NÃO INFORMADO,jose menino,desenvolvimento e defesa de direitos,outros
LEGAL - LESBICAS E GAYS DO LITORAL,LEGAL,Associação Privada,2009,NÃO INFORMADO,NÃO INFORMADO,marape,desenvolvimento e defesa de direitos,outros
ASSOCIACAO EDUCAR NO BRASIL NECESSARY,EDUCAR BRASIL,Associação Privada,2009,NÃO INFORMADO,NÃO INFORMADO,vila belmiro,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DE HIPPOTERAPIA DA BAIXADA SANTISTA (AHBS),AHBS,Associação Privada,2010,NÃO INFORMADO,NÃO INFORMADO,caneleira,"associações patronais, profissionais e de produtores rurais",associações profissionais
