razao_social_osc,nome_fantasia_osc,natureza_juridica,ano_inicio,classe_atividade_economica,subclasse_atividade_economica,bairro,area_atuacao,subarea_atuacao
ASSOCIACAO SABESP,ASSOC. SABESP - DIR.REG.BX SANTISTA,Associação Privada,1979,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",jose menino,cultura e recreação,esporte e recreação
GRUPO ESPIRITA TRABALHO E AMOR GETA,GETA,Associação Privada,1978,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,areia branca,religião,religião
MOVIMENTO DE ARREGIMENTACAO FEMININA,NÃO INFORMADO,Associação Privada,1978,"Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares",Instituições de longa permanência para idosos,jose menino,assistência social,assistência social
GREMIO RECREATIVO E ESPORTIVO DO SIND ENFER DE SANTOS,GRESES,Associação Privada,1978,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",vila mathias,cultura e recreação,esporte e recreação
SOCIEDADE DE MELHORAMENTOS DO JARDIM BOM RETIRO,NÃO INFORMADO,Associação Privada,1979,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,jd bom retiro,desenvolvimento e defesa de direitos,outros
CONGREGACAO MARIANA DA ANUNCIACAO,NÃO INFORMADO,Associação Privada,1978,NÃO INFORMADO,NÃO INFORMADO,aparecida,religião,religião
COLONIA DOS PESCADORES ZI JOSE BONIFACIO,COLONIA DOS PESCADORES Z I JOSE BONIFACIO,Associação Privada,1979,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,ponta da praia,desenvolvimento e defesa de direitos,outros
BETH S CLUBE,NÃO INFORMADO,Associação Privada,1981,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",vila rica,cultura e recreação,esporte e recreação
SANTOS SUB ATIVIDADES SUB AQUATICAS,NÃO INFORMADO,Associação Privada,1981,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",aparecida,cultura e recreação,esporte e recreação
ESPORTE CLUBE RODRIMAR,NÃO INFORMADO,Associação Privada,1981,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,centro,desenvolvimento e defesa de direitos,outros
SOCIEDADE PRO MELHORAMENTOS DA VILA GILDA,NÃO INFORMADO,Associação Privada,1981,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,jardim castelo,desenvolvimento e defesa de direitos,outros
ESPORTE CLUBE JUVENTUDE DE NOVA CINTRA,NÃO INFORMADO,Associação Privada,1981,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",morro nova cintra,cultura e recreação,esporte e recreação
AUGUSTA E RESPEITAVEL LOJA SIMBOLICA XV DE NOVEMBRO 38,NÃO INFORMADO,Associação Privada,1981,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,vila matias,desenvolvimento e defesa de direitos; religião,religião
CHOROES SANTISTAS CLUBE,NÃO INFORMADO,Associação Privada,1981,NÃO INFORMADO,NÃO INFORMADO,jabaquara,cultura e recreação,esporte e recreação
UNIAO BRASILEIRA DE TROVADORES SECAO SANTOS,NÃO INFORMADO,Associação Privada,1981,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,boqueirao,desenvolvimento e defesa de direitos,outros
SOCIEDADE AMIGOS DO MORRO DO PACHECO,NÃO INFORMADO,Associação Privada,1980,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,morro do pacheco,desenvolvimento e defesa de direitos,outros
CENTRO FRATERNO DE AMIZADE,C V V,Associação Privada,1980,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,macuco,assistência social,assistência social
CENTRO DOS PROPRIETARIOS DE VEICULOS DE SANTOS,NÃO INFORMADO,Associação Privada,1981,Atividades de organizações associativas patronais e empresariais,Atividades de organizações associativas patronais e empresariais,centro,"associações patronais, profissionais e de produtores rurais",associações empresariais e patronais
SOC DE MELHORAMENTOS DO BAIRRO DA PONTA DA PRAIA,NÃO INFORMADO,Associação Privada,1981,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,ponta da praia,desenvolvimento e defesa de direitos,outros
SOCIEDADE DE MELHORAMENTOS DO MONTE SERRAT,NÃO INFORMADO,Associação Privada,1981,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,morro do monte serrat,desenvolvimento e defesa de direitos,outros
ASSOC PRO BENEFICENCIA E MELHORAMENTOS DA VILA ALEMOA,NÃO INFORMADO,Associação Privada,1982,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,alemoa,desenvolvimento e defesa de direitos,outros
ASSOCIACAO MOSAICO DE SANTOS,MOSAICO CLUBE,Associação Privada,1982,Atividades esportivas não especificadas anteriormente,Outras atividades esportivas não especificadas anteriormente,macuco,cultura e recreação,esporte e recreação
IGREJA EVANGELICA PENTECOSTAL O BRASIL PARA CRISTO,NÃO INFORMADO,Associação Privada,1982,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,vila sao jorge,religião,religião
ASSOCIACAO DOS APOSENTADOS DA FUNDACAO CESP,NÃO INFORMADO,Associação Privada,1994,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",jabaquara,desenvolvimento e defesa de direitos,outros
CENTRO DE UMBANDA ESTRELA GUIA,NÃO INFORMADO,Fundação Privada,1980,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,estuario,religião,religião
FUNDACAO DE ROTARIANOS DE SANTOS,NÃO INFORMADO,Associação Privada,1980,Atividades de organizações associativas ligadas à cultura e à arte,Atividades de organizações associativas ligadas à cultura e à arte,gonzaga,desenvolvimento e defesa de direitos,outros
SOCIEDADE DE MELHORAMENTOS DOS AMIGOS DA VILA S BENTO,NÃO INFORMADO,Associação Privada,1980,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,vila sao bento,desenvolvimento e defesa de direitos,outros
