tx_razao_social_osc,tx_nome_fantasia_osc,tx_nome_natureza_juridica,ano_inicio,tx_nome_classe_atividade_economica,tx_nome_subclasse_atividade_economica,tx_bairro,agg_tx_nome_area_atuacao,agg_tx_nome_subarea_atuacao
INSTITUTO REDE DE BASE ORGANICA CATA SAMPA,,Associação Privada,2009.0,,,PAQUETA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO FILANTROPICA CATOLICA ORTODOXA,UNIDADE 1,Associação Privada,2009.0,,,CAMPO GRANDE,Religião,Religião
"INSTITUTO ECOFAXINA - LIMPEZA, MONITORAMENTO E EDUCACAO AMBIENTAL",INSTITUTO ECOFAXINA,Associação Privada,2008.0,,,BOQUEIRAO,Educação e pesquisa; Meio ambiente e proteção animal; Outras atividades associativas,Associações de atividades não especificadas anteriormente; Atividades de apoio à educação; Estudos e pesquisas; Meio ambiente; Outras formas de educação/ensino
UNICOS - UNIAO DOS CONSUMIDORES E CORRETORES DE SERVICOS DE SAUDE,,Associação Privada,2005.0,,,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
GREMIO ESPORTIVO TAMBOREU DO CONDE,,Associação Privada,2005.0,,,PONTA DA PRAIA,Cultura e recreação,Esporte e recreação
MINISTERIO EVANGELICO LIVRE ACESSO,MINISTERIO LIVRE ACESSO,Associação Privada,2005.0,,,JOSE MENINO,Religião,Religião
INSTITUTO BONTEMPI,INSTITUTO MED PREV/SANTOS.,Associação Privada,2009.0,,,VILA BELMIRO,Saúde,Outros serviços de saúde
ORGANIZACAO NAO GOVERNAMENTAL VIDACOM,ONG VIDAMCOM,Associação Privada,2009.0,,,VIA MATIAS,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DE PACIENTES PORTADORES DE DOENCAS HEMATOLOGICAS CAMINHOS A VIDA,,Associação Privada,2010.0,,,VILA SAO JORGE,Assistência social,Assistência social
ASSOCIACAO DOS MORADORES DO CONJUNTO RESIDENCIAL EMILIA BARRETO VALLEJO,,Associação Privada,2010.0,,,PONTA DA PRAIA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
LIGA DE BEACH TENNIS DO ESTADO DE SAO PAULO,,Associação Privada,2010.0,Atividades esportivas não especificadas anteriormente,Produção e promoção de eventos esportivos,MARAPE,Cultura e recreação,Esporte e recreação
ASSOCIACAO DOS MORADORES E AMIGOS DA ANTIGA SANTISTA,,Associação Privada,2011.0,,,MACUCO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
INSTITUTO O GRANDE LANCE,O GRANDE LANCE,Associação Privada,2011.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,GONZAGA,Desenvolvimento e defesa de direitos,Outros
