razao_social_osc, nome_fantasia_osc, natureza_juridica, ano_inicio, classe_atividade_economica, subclasse_atividade_economica, bairro, area_atuacao, subarea_atuacao
MINISTERIO EVANGELICO PROJETO FAMILIA EM CRISTO,MINISTERIO EVANGELICO PROJETO FAMILIA EM CRISTO,Organização Religiosa,2017.0,NÃO INFORMADO,NÃO INFORMADO,PONTA DA PRAIA,Religião,Religião
INSTITUTO MINHA SANTOS,NÃO INFORMADO,Associação Privada,2017.0,NÃO INFORMADO,NÃO INFORMADO,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
LOJA ACACIA DE SANTOS DE MESTRES MACONS DA MARCA N 5,NÃO INFORMADO,Associação Privada,2017.0,NÃO INFORMADO,NÃO INFORMADO,ESTUARIO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO SOCIAL ESPORTIVA SANTISTA  ASES,ASES,Associação Privada,2017.0,NÃO INFORMADO,NÃO INFORMADO,CENTRO,Cultura e recreação,Esporte e recreação
ASSOCIACAO ESPORTIVA TURMA MIL,TURMA 1000,Associação Privada,2017.0,NÃO INFORMADO,NÃO INFORMADO,BOQUEIRAO,Cultura e recreação,Esporte e recreação
VEREADOR ROCHA E SILVA ASSOCIACAO,NÃO INFORMADO,Associação Privada,2017.0,NÃO INFORMADO,NÃO INFORMADO,PONTA DA PRAIA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO DOS LOJISTAS DO BOULEVARD ANA COSTA,ASSOCIACAO DOS LOJISTAS DO BOULEVARD ANA COSTA,Associação Privada,2017.0,NÃO INFORMADO,NÃO INFORMADO,GONZAGA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO COMUNITARIA ACORDA CASTELO (ACAC),NÃO INFORMADO,Associação Privada,2017.0,NÃO INFORMADO,NÃO INFORMADO,CASTELO,Desenvolvimento e defesa de direitos,Outros
GREMIO RECREATIVO ZELITO S,NÃO INFORMADO,Associação Privada,2017.0,NÃO INFORMADO,NÃO INFORMADO,APARECIDA,Cultura e recreação,Esporte e recreação
INSTITUTO AMIGOS DO ESPORTE,NÃO INFORMADO,Associação Privada,2017.0,NÃO INFORMADO,NÃO INFORMADO,PONTA DA PRAIA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DOS AMIGOS DA TECNOLOGIA,AATEC,Associação Privada,2017.0,NÃO INFORMADO,NÃO INFORMADO,APARECIDA,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
ORGANIZACAO BRAZIL-CONGO SOLUCOES,OBRACO SOLUTIONS,Associação Privada,2017.0,NÃO INFORMADO,NÃO INFORMADO,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO CIVIL SEM FINS LUCRATIVOS - ONG HELLA,ONG HELLA,Associação Privada,2017.0,NÃO INFORMADO,NÃO INFORMADO,VILA BELMIRO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
GRUPO ESPERANCAR - ESTUDOS ESPIRITAS,GRUPO ESPERANCAR - ESTUDOS ESPIRITAS,Organização Religiosa,2017.0,NÃO INFORMADO,NÃO INFORMADO,EMBARE,Religião,Religião
